company,year,salary,university,term,location,bonus,role,arrangement
Huawei,2025,36.0,University of Waterloo,5.0,,0.0,Unreported,
HubSpot,2022,71.76,University of Waterloo,,,0.0,Unreported,
IBM,2024,26.5,University of Waterloo,,,0.0,Unreported,
IBM,2024,29.5,University of Waterloo,4.0,,0.0,Unreported,
IBM,2024,36.0,University of Waterloo,,,0.0,Unreported,
IBM,2023,32.0,University of Waterloo,4.0,,0.0,Product Design,
Imagine Communications Corp,2022,21.0,University of Waterloo,1.0,,0.0,Unreported,
Imagine Communications Corp,2022,24.0,University of Waterloo,2.0,,0.0,Unreported,
Imagine Communications Corp,2023,26.0,University of Waterloo,3.0,,0.0,Unreported,
Imagine Communications Corp,2022,29.0,University of Waterloo,4.0,,0.0,Unreported,
Imagine Communications Corp,2024,31.0,University of Waterloo,5.0,,0.0,Unreported,
Imagine Communications Corp,2024,33.0,University of Waterloo,6.0,,0.0,Unreported,
Index Exchange,2022,30.0,University of Waterloo,,,0.0,Unreported,
Indus AI,2024,73.32,University of Waterloo,5.0,,0.0,Unreported,
Inflight,2024,25.0,University of Waterloo,,,0.0,Unreported,
Inflight,2022,26.5,University of Waterloo,4.0,,0.0,Unreported,
Information Builders,2022,50.0,University of Waterloo,,,0.0,Unreported,
Intact,2025,43.0,University of Waterloo,5.0,,0.0,Unreported,
Intact,2024,30.5,University of Waterloo,3.0,,0.0,Unreported,
Intact,2024,32.0,University of Waterloo,2.0,,0.0,Unreported,
Intact,2024,39.0,University of Waterloo,6.0,,0.0,Unreported,
Intel,2023,33.0,University of Waterloo,,,0.0,Unreported,
Intel,2023,35.0,University of Waterloo,6.0,,0.0,Unreported,
Insticator,2023,22.5,University of Waterloo,,,0.0,Unreported,
Integrate.ai,2022,38.75,University of Waterloo,,,0.0,Unreported,
Intuit,2023,33.5,University of Waterloo,,,6900.0,Unreported,
Intuit,2022,47.0,University of Waterloo,3.0,,6900.0,Unreported,
iS5 Communications,2022,32.0,University of Waterloo,6.0,,0.0,Unreported,
ISARA,2023,30.7,University of Waterloo,3.0,,0.0,Unreported,
Itipack Systems,2022,23.0,University of Waterloo,2.0,,0.0,Mechanical Design,
Jane Street,2023,241.5,University of Waterloo,,,25668.0,Unreported,
Jobox.ai,2023,49.16,University of Waterloo,3.0,,0.0,Unreported,
Kaleidescape,2022,19.63,University of Waterloo,,,0.0,All positions,
Kambeo,2024,25.0,University of Waterloo,,,0.0,Unreported,
KeepTruckin,2023,30.0,University of Waterloo,,,0.0,Unreported,
Kiavi,2024,77.63,University of Waterloo,,,0.0,Unreported,
Kinaxis,2022,24.0,University of Waterloo,1.0,,0.0,Unreported,
Kinaxis,2024,34.0,University of Waterloo,2.0,,0.0,Unreported,
Kinaxis,2023,29.0,University of Waterloo,4.0,,0.0,Unreported,
Kodiak Robotics,2022,73.32,University of Waterloo,6.0,,0.0,Unreported,
Konrad Group,2022,51.75,University of Waterloo,,,0.0,Unreported,
LCBO,2022,27.5,University of Waterloo,,,0.0,PM,
League,2024,33.0,University of Waterloo,4.0,,0.0,Unreported,
League,2023,41.0,University of Waterloo,6.0,,0.0,Unreported,
Level,2022,112.13,University of Waterloo,,,3240.0,Unreported,
LifeWorks,2022,22.5,University of Waterloo,,,0.0,Unreported,
Lifion by Adp,2022,42.0,University of Waterloo,,,0.0,Unreported,
Linkedin,2024,75.9,University of Waterloo,,,9660.0,Unreported,
